<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20210215;200000;270.7000000
SBER;60;20210215;210000;270.7700000
SBER;60;20210215;220000;270.8600000
SBER;60;20210215;230000;271.4400000
SBER;60;20210216;000000;271.8100000
SBER;60;20210216;110000;269.5200000
SBER;60;20210216;120000;271.1000000
SBER;60;20210216;130000;269.6800000
SBER;60;20210216;140000;268.9700000
SBER;60;20210216;150000;269.8000000
SBER;60;20210216;160000;271.2300000
SBER;60;20210216;170000;271.2000000
SBER;60;20210216;180000;270.6200000
SBER;60;20210216;190000;271.2500000
SBER;60;20210216;200000;270.3300000
SBER;60;20210216;210000;270.8900000
SBER;60;20210216;220000;271.0000000
SBER;60;20210216;230000;271.2000000
SBER;60;20210217;000000;270.9000000
SBER;60;20210217;110000;270.7600000
SBER;60;20210217;120000;274.1700000
SBER;60;20210217;130000;274.4900000
SBER;60;20210217;140000;273.4600000
SBER;60;20210217;150000;273.6600000
SBER;60;20210217;160000;274.7600000
SBER;60;20210217;170000;272.5600000
SBER;60;20210217;180000;269.6400000
SBER;60;20210217;190000;268.9400000
SBER;60;20210217;200000;268.8800000
SBER;60;20210217;210000;269.7700000
SBER;60;20210217;220000;270.4000000
SBER;60;20210217;230000;270.4100000
SBER;60;20210218;000000;270.9000000
SBER;60;20210218;110000;269.1500000
SBER;60;20210218;120000;272.4000000
SBER;60;20210218;130000;270.6800000
SBER;60;20210218;140000;270.1100000
SBER;60;20210218;150000;270.3000000
SBER;60;20210218;160000;270.1000000
SBER;60;20210218;170000;268.5500000
SBER;60;20210218;180000;267.3100000
SBER;60;20210218;190000;266.5100000
SBER;60;20210218;200000;267.1600000
SBER;60;20210218;210000;267.3400000
SBER;60;20210218;220000;267.0200000
SBER;60;20210218;230000;267.5300000
SBER;60;20210219;000000;266.9900000
SBER;60;20210219;110000;264.8600000
SBER;60;20210219;120000;265.9200000
SBER;60;20210219;130000;267.2600000
SBER;60;20210219;140000;267.7100000
SBER;60;20210219;150000;266.9800000
SBER;60;20210219;160000;269.4000000
SBER;60;20210219;170000;269.7400000
SBER;60;20210219;180000;271.6200000
SBER;60;20210219;190000;271.3500000
SBER;60;20210219;200000;271.2500000
SBER;60;20210219;210000;270.4000000
SBER;60;20210219;220000;270.8900000
SBER;60;20210219;230000;270.4000000
SBER;60;20210220;000000;271.3400000
SBER;60;20210220;110000;269.2700000
SBER;60;20210220;120000;270.2200000
SBER;60;20210220;130000;269.6600000
SBER;60;20210220;140000;269.5300000
SBER;60;20210220;150000;269.7200000
SBER;60;20210220;160000;269.7500000
SBER;60;20210220;170000;270.2700000
SBER;60;20210220;180000;270.5900000
SBER;60;20210220;190000;270.5100000
SBER;60;20210220;200000;270.1500000
SBER;60;20210220;210000;270.4500000
SBER;60;20210220;220000;270.4000000
SBER;60;20210220;230000;270.4100000
SBER;60;20210221;000000;270.5100000
SBER;60;20210222;110000;269.2100000
SBER;60;20210222;120000;269.6900000
SBER;60;20210222;130000;270.3500000
SBER;60;20210222;140000;270.8700000
SBER;60;20210222;150000;270.4400000
SBER;60;20210222;160000;270.2100000
SBER;60;20210222;170000;270.7500000
SBER;60;20210222;180000;273.4200000
SBER;60;20210222;190000;273.0000000
SBER;60;20210222;200000;273.2400000
SBER;60;20210222;210000;274.2400000
SBER;60;20210222;220000;274.2700000
SBER;60;20210222;230000;273.5900000
SBER;60;20210223;000000;273.7100000
SBER;60;20210224;110000;270.5400000
SBER;60;20210224;120000;271.2000000
SBER;60;20210224;130000;271.3200000
SBER;60;20210224;140000;271.2500000
SBER;60;20210224;150000;271.4900000
SBER;60;20210224;160000;270.9000000
SBER;60;20210224;170000;269.8000000
SBER;60;20210224;180000;270.1100000
SBER;60;20210224;190000;269.7900000
SBER;60;20210224;200000;271.3900000
SBER;60;20210224;210000;271.5900000
